run,ckpt,tensor,shape,dtype,numel
M4_K64_res84,final,context.blocks.0.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,context.blocks.0.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,context.blocks.0.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,context.blocks.0.ln1.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.ln1.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.ln2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.ln2.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,context.blocks.0.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,context.blocks.0.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.0.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,context.blocks.1.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,context.blocks.1.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,context.blocks.1.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,context.blocks.1.ln1.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.ln1.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.ln2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.ln2.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,context.blocks.1.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,context.blocks.1.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.1.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,context.blocks.2.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,context.blocks.2.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,context.blocks.2.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,context.blocks.2.ln1.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.ln1.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.ln2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.ln2.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,context.blocks.2.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,context.blocks.2.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.2.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,context.blocks.3.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,context.blocks.3.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,context.blocks.3.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,context.blocks.3.ln1.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.ln1.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.ln2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.ln2.weight,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,context.blocks.3.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,context.blocks.3.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,context.blocks.3.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,context.ln.bias,128,torch.float32,128
M4_K64_res84,final,context.ln.weight,128,torch.float32,128
M4_K64_res84,final,context.patch_embed.bias,128,torch.float32,128
M4_K64_res84,final,context.patch_embed.weight,128x1x12x12,torch.float32,18432
M4_K64_res84,final,context.pos,1x49x128,torch.float32,6272
M4_K64_res84,final,context.sem,1x4x128,torch.float32,512
M4_K64_res84,final,ctx_pos,1x49x128,torch.float32,6272
M4_K64_res84,final,pred_p2p.blocks.0.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,pred_p2p.blocks.0.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,pred_p2p.blocks.0.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,pred_p2p.blocks.0.ln1.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.ln1.weight,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.ln2.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.ln2.weight,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,pred_p2p.blocks.0.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,pred_p2p.blocks.0.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.0.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,pred_p2p.blocks.1.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,pred_p2p.blocks.1.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,pred_p2p.blocks.1.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,pred_p2p.blocks.1.ln1.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.ln1.weight,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.ln2.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.ln2.weight,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,pred_p2p.blocks.1.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,pred_p2p.blocks.1.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.blocks.1.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,pred_p2p.head.0.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.head.0.weight,128,torch.float32,128
M4_K64_res84,final,pred_p2p.head.1.bias,128,torch.float32,128
M4_K64_res84,final,pred_p2p.head.1.weight,128x128,torch.float32,16384
M4_K64_res84,final,pred_p2p.mask_tok,1x1x128,torch.float32,128
M4_K64_res84,final,pred_p2p.qpos,1x49x128,torch.float32,6272
M4_K64_res84,final,pred_s2p.blocks.0.attn.in_proj_bias,384,torch.float32,384
M4_K64_res84,final,pred_s2p.blocks.0.attn.in_proj_weight,384x128,torch.float32,49152
M4_K64_res84,final,pred_s2p.blocks.0.attn.out_proj.bias,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.attn.out_proj.weight,128x128,torch.float32,16384
M4_K64_res84,final,pred_s2p.blocks.0.ln1.bias,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.ln1.weight,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.ln2.bias,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.ln2.weight,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.mlp.0.bias,512,torch.float32,512
M4_K64_res84,final,pred_s2p.blocks.0.mlp.0.weight,512x128,torch.float32,65536
M4_K64_res84,final,pred_s2p.blocks.0.mlp.2.bias,128,torch.float32,128
M4_K64_res84,final,pred_s2p.blocks.0.mlp.2.weight,128x512,torch.float32,65536
M4_K64_res84,final,pred_s2p.blocks.1.attn.in_proj_bias,384,torch.float32,384
