run,rel_path,ext,bytes,mtime_utc,sha256
M4_K64_res84,ckpts\ckpt_step00029000.pt,.pt,23548555,2026-06-17T15:27:56.669820+00:00,8f4b25ff70f1d12c489923e3fc13d9ee86c61b249ff84e8f1b2cac1738d03a95
M4_K64_res84,ckpts\ckpt_step00029500.pt,.pt,23548555,2026-06-17T15:27:57.095560+00:00,a237d83cd4ef6a698699cff4315c5ecd8baa501bda949c20bcdecc60596eeb2c
M4_K64_res84,ckpts\ckpt_step00030000.pt,.pt,23548555,2026-06-17T15:27:56.878917+00:00,7e37a9171d3d8b1e5830e58f6d55dea48d11e2a8c84c2aa36d85a7001999be8b
M4_K64_res84,final.pt,.pt,10046467,2026-06-17T15:27:56.374669+00:00,2f6b1f0ed5ef4775c6c186385a70812cf8059d8129d4ebf013211560d2cecbe5
M4_K64_res84,gate_artifacts.npz,.npz,11116,2026-06-17T15:27:56.235954+00:00,006549650f958dfe2a78bbbd0cb8ad5c4c40173350c48a678192d6774713c008
M4_K64_res84,gate_report.json,.json,1280,2026-06-17T15:27:56.230944+00:00,6cb4fc912532d8e9456946019b5112c82e9564d0cca8784bc7433bf1345fa22a
M4_K64_res84,train_log.jsonl,.jsonl,125966,2026-06-17T15:27:56.220659+00:00,e66f759da7be79304806a93902ebf2f1dcc2420f06c3b28499d52024488f36ff
M8_K128_res84,ckpts\ckpt_step00029000.pt,.pt,23573835,2026-06-17T15:28:06.051542+00:00,f6e57fc8876b6eaba77be93b4307b9cfecaffa6f20c1a45995e8b1b847a376dc
M8_K128_res84,ckpts\ckpt_step00029500.pt,.pt,23573835,2026-06-17T15:28:06.288364+00:00,ce956e7c6f21cb060c3e945cf723d5a6f623076f97f644d9b5c596fb11dd12d9
M8_K128_res84,ckpts\ckpt_step00030000.pt,.pt,23573835,2026-06-17T15:28:05.817094+00:00,5f9949625809a5ea744dbaf2baf833cccd887512a972d0895d6c734f62e14b7a
M8_K128_res84,final.pt,.pt,10067715,2026-06-17T15:28:05.587881+00:00,11c78eca6c46b9602afbe8e54cb298e41b9716cb5975367ac98fdff3190fb906
M8_K128_res84,gate_artifacts.npz,.npz,23404,2026-06-17T15:28:05.458217+00:00,943f05339cc8565d6d0d1806e2b202011e133d896735c6a7e4f8e4bfadbef186
M8_K128_res84,gate_report.json,.json,1414,2026-06-17T15:28:05.463275+00:00,32688ba61aa7d4b63bd754ebbcc5c5e93bd318224164bb7662f4c24c4a1f88e1
M8_K128_res84,train_log.jsonl,.jsonl,125016,2026-06-17T15:28:05.471314+00:00,e44badd47c9b0e9f2fc1c715f9c467ceeaa07f8f3af4c1b1c2a399d8281c6c70
M4_K64_res128,ckpts\ckpt_step00029000.pt,.pt,23877771,2026-06-17T15:27:48.023093+00:00,b364c3156e38fefff59857f24932b5c2869dc4d8cdeb4fab351744e3bb3f7548
M4_K64_res128,ckpts\ckpt_step00029500.pt,.pt,23877771,2026-06-17T15:27:48.482802+00:00,78fff514cbec7edd3e0abb861b58288fb0189796591200dd7c6de49aac1ad9dc
M4_K64_res128,ckpts\ckpt_step00030000.pt,.pt,23877771,2026-06-17T15:27:48.254936+00:00,9b7d2c6841b0bfa2087a17c26707a23e3958c5b8baeca015b6f76890fc072ba6
M4_K64_res128,final.pt,.pt,10199555,2026-06-17T15:27:47.784892+00:00,669a684f899c60a2488efca4ff2ffd9edb8dbb4c9cd64849a283e1100f6d13e9
M4_K64_res128,gate_artifacts.npz,.npz,11116,2026-06-17T15:27:47.672274+00:00,1f16794dbc07d56ff75bbdaf1d440755624fcd07f6c26370f3988c781ae79318
M4_K64_res128,gate_report.json,.json,1234,2026-06-17T15:27:47.667256+00:00,52edbf03ed07163479c80b943079f25cb9a3ab5bd1596426ead1d8be3f7d145a
M4_K64_res128,train_log.jsonl,.jsonl,126422,2026-06-17T15:27:47.662027+00:00,099db13c6721edc89ef0e8b30a772280d6507555b8d598a11cb488b3e10e6b36
