target,input,metric,score_mean,ci_lo,ci_hi,baseline,shuffled_control,n_splits
stuck,action_only,AUC,0.4823920645028307,0.407932224025974,0.5384792780748663,0.5,0.4682750708746039,20
stuck,z_t+act (onehot),AUC,0.549648254084939,0.4382885119611351,0.6512922110783953,0.5,0.44926715862897115,20
stuck,z_t+z_t1+act (onehot),AUC,0.5793417075562703,0.47001123366013076,0.6735874049196418,0.5,0.49179496858872335,20
stuck,z_t+act (prequant),AUC,0.5034722685699429,0.4122124445676275,0.5770224108217529,0.5,0.5096679957726316,20
stuck,z_t+z_t1+act (prequant),AUC,0.571214783761331,0.4791819852941176,0.6683300395256916,0.5,0.5736643884234154,20
stuck,delta z (prequant z_t1-z_t),AUC,0.5424730751357416,0.4919607843137255,0.6032645128611698,0.5,0.4863624678206512,20
realized_direction,action_only,ACC,0.6544034209831997,0.5904324324324325,0.7339222744637085,0.40140090264629597,0.4658956107174741,20
realized_direction,z_t+act (onehot),ACC,0.528988898863019,0.41445590327169274,0.608546511627907,0.40140090264629597,0.37959188609808814,20
realized_direction,z_t+z_t1+act (onehot),ACC,0.547524374961185,0.4328769559032717,0.6337246376811594,0.40140090264629597,0.372730098039783,20
realized_direction,z_t+act (prequant),ACC,0.5787243439498371,0.5064189189189189,0.6607699943278502,0.40140090264629597,0.40602347314573095,20
realized_direction,z_t+z_t1+act (prequant),ACC,0.5817093962487204,0.43321654988321656,0.6695489941596365,0.40140090264629597,0.37189731094826584,20
realized_direction,delta z (prequant z_t1-z_t),ACC,0.41570280235849805,0.3375814067079127,0.49854395604395596,0.40140090264629597,0.40773276346410076,20
