i,episode_seed,ei,k,a_prev,a_int,identifiable,stuck,dplayer_y_fac_cf,dvec_l2_fac_cf,dplayer_y_fac_oth,pix_meanabs_fac_cf,pix_meanabs_fac_oth,identical_fac_cf
0,1005,5,210,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.037698412698412696,False
1,1002,2,70,0,3,True,0,6.0,6.0,3.0,0.11281179138321995,0.07511337868480726,False
2,1001,1,122,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
3,1005,5,67,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
4,1002,2,217,0,2,True,0,6.0,6.0,3.0,0.11238662131519274,0.037698412698412696,False
5,1011,11,120,0,3,True,0,3.5,3.5,2.0,0.05612244897959184,0.037698412698412696,False
6,1002,2,87,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.07482993197278912,False
7,1002,2,177,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
8,1002,2,209,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
9,1007,7,42,0,3,True,0,6.0,6.0,3.0,0.11295351473922903,0.03755668934240363,False
10,1008,8,184,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
11,1002,2,144,0,2,True,0,6.0,6.0,3.0,0.11281179138321995,0.07525510204081633,False
12,1009,9,110,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.03755668934240363,False
13,1006,6,223,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.03755668934240363,False
14,1002,2,134,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
15,1012,12,177,0,3,True,0,6.0,6.0,3.0,0.11295351473922903,0.037698412698412696,False
16,1000,0,94,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
17,1012,12,51,0,3,True,0,5.0,5.0,3.0,0.11210317460317461,0.07497165532879818,False
18,1002,2,91,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
19,1005,5,101,0,3,True,0,6.0,6.0,3.0,0.0939625850340136,0.03784013605442177,False
20,1010,10,147,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
21,1004,4,172,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
22,1005,5,91,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
23,1012,12,92,0,2,True,0,6.0,6.0,3.0,0.0939625850340136,0.05612244897959184,False
24,1004,4,43,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
25,1007,7,153,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.07511337868480726,False
26,1005,5,126,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
27,1006,6,123,0,3,True,0,5.0,5.0,2.0,0.07511337868480726,0.03755668934240363,False
28,1000,0,214,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.07497165532879818,False
29,1002,2,213,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
30,1008,8,43,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
31,1007,7,161,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
32,1002,2,68,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.03755668934240363,False
33,1000,0,53,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
34,1012,12,97,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
35,1010,10,222,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.07497165532879818,False
36,1007,7,138,0,2,True,0,6.0,6.0,3.0,0.11224489795918367,0.07468820861678005,False
37,1009,9,58,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
38,1012,12,46,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.07511337868480726,False
39,1013,13,180,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
40,1010,10,57,0,2,True,0,6.0,6.0,3.0,0.11295351473922903,0.07511337868480726,False
41,1010,10,209,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.07482993197278912,False
42,1001,1,232,0,3,True,0,3.0,3.0,1.5,0.055980725623582764,0.037273242630385485,False
43,1005,5,202,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
44,1001,1,70,0,2,True,0,6.0,6.0,3.0,0.11238662131519274,0.037698412698412696,False
45,1011,11,190,0,2,True,0,6.0,6.0,3.0,0.11295351473922903,0.07511337868480726,False
46,1000,0,49,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
47,1011,11,69,0,2,True,0,6.0,6.0,3.0,0.11238662131519274,0.037273242630385485,False
48,1006,6,239,0,3,True,0,5.0,5.0,3.0,0.11267006802721088,0.07511337868480726,False
49,1010,10,194,0,3,True,0,5.0,5.0,3.0,0.07482993197278912,0.037273242630385485,False
50,1011,11,63,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
51,1012,12,84,0,2,True,0,6.0,6.0,3.0,0.11281179138321995,0.07525510204081633,False
52,1007,7,102,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
53,1009,9,223,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
54,1011,11,225,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
55,1000,0,68,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
56,1013,13,69,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
57,1009,9,70,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
58,1000,0,124,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
59,1002,2,54,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
60,1004,4,71,0,2,True,0,6.0,6.0,3.0,0.11224489795918367,0.07511337868480726,False
61,1000,0,187,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.07497165532879818,False
62,1010,10,71,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
63,1007,7,90,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
64,1013,13,64,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.03755668934240363,False
65,1005,5,213,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
66,1009,9,126,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
67,1008,8,41,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
68,1007,7,73,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
69,1001,1,201,0,3,True,0,5.0,5.0,3.0,0.11238662131519274,0.07482993197278912,False
70,1010,10,135,0,3,True,0,5.0,5.0,2.0,0.0939625850340136,0.018849206349206348,False
71,1008,8,238,0,2,True,0,6.0,6.0,3.0,0.11252834467120182,0.037698412698412696,False
72,1006,6,201,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
73,1001,1,57,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.07511337868480726,False
74,1000,0,183,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
75,1008,8,248,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
76,1007,7,177,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
77,1000,0,61,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
78,1010,10,151,0,2,True,0,6.0,6.0,3.0,0.11224489795918367,0.03713151927437642,False
