i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
0,True,6.0,0.11267006802721088,4,False,6.254119396209717,4,False,12|12|12|12,3|57|3|3,49|49|49|49
1,True,6.0,0.11281179138321995,4,False,12.174821853637695,2,False,24|61|61|24,24|61|61|24,9|9|9|9
2,True,0.0,0.0,0,True,0.0,0,True,13|37|37|13,16|16|16|16,16|16|16|16
3,True,0.0,0.0,0,True,0.0,0,True,15|15|15|15,17|17|17|17,17|17|17|17
4,True,6.0,0.11238662131519274,4,False,11.030655860900879,4,False,23|23|23|23,47|47|47|47,19|19|19|19
5,True,3.5,0.05612244897959184,4,False,12.045602798461914,4,False,58|58|58|58,11|55|11|11,58|58|58|58
6,True,6.0,0.11210317460317461,4,False,11.052774429321289,4,False,3|3|3|3,39|39|39|39,12|12|12|12
7,True,0.0,0.0,0,True,0.0,0,True,11|11|11|11,7|7|7|7,7|7|7|7
8,True,0.0,0.0,0,True,0.0,0,True,0|0|0|0,3|3|3|3,3|3|3|3
9,True,6.0,0.11295351473922903,4,False,12.966852188110352,4,False,33|56|33|33,29|29|29|29,33|33|33|33
10,True,0.0,0.0,0,True,0.0,0,True,54|54|54|54,11|43|11|11,11|43|11|11
11,True,6.0,0.11281179138321995,4,False,13.369104385375977,4,False,31|54|54|31,2|9|9|2,24|62|62|24
12,True,6.0,0.11238662131519274,4,False,10.427184104919434,0,True,54|55|54|54,43|43|43|43,54|54|54|54
13,True,6.0,0.11238662131519274,4,False,11.80470085144043,3,False,52|52|52|52,39|52|39|39,28|28|28|28
14,True,0.0,0.0,0,True,0.0,0,True,43|31|31|43,42|57|57|42,42|57|57|42
15,True,6.0,0.11295351473922903,4,False,6.681307315826416,4,False,21|20|20|21,16|16|16|16,13|13|13|13
16,True,0.0,0.0,0,True,0.0,0,True,25|25|25|25,11|11|11|11,11|11|11|11
17,True,5.0,0.11210317460317461,4,False,6.585558891296387,4,False,15|15|15|15,60|60|60|60,17|15|15|17
