probe,input,subset,metric,train,test,baseline,test_ci_lo,test_ci_hi,auc,n_train,n_test,shuffled_control
player_y_regression,z_t,all,MAE,5.812706125953983,11.852095120913022,37.150176413182194,7.426392203492004,16.952961296230168,,173,77,40.95540836879185
paddle_direction,action_only,all,acc,0.6705202312138728,0.6363636363636364,0.44155844155844154,0.5324675324675324,0.7532467532467533,,173,77,0.6363636363636364
paddle_direction,zt+actions,all,acc,0.8034682080924855,0.6753246753246753,0.44155844155844154,0.5714285714285714,0.7792207792207793,,173,77,0.4675324675324675
paddle_direction,zt+zt1+actions,all,acc,0.9364161849710982,0.6363636363636364,0.44155844155844154,0.5194805194805194,0.7402597402597403,,173,77,0.37662337662337664
executed_action,action_only,all,acc,0.5144508670520231,0.5064935064935064,0.5064935064935064,0.4025974025974026,0.6233766233766234,,173,77,0.5064935064935064
executed_action,zt+actions,all,acc,0.8554913294797688,0.6233766233766234,0.5064935064935064,0.5064935064935064,0.7275974025974024,,173,77,0.44155844155844154
executed_action,zt+zt1+actions,all,acc,0.9710982658959537,0.5844155844155844,0.5064935064935064,0.4675324675324675,0.6883116883116883,,173,77,0.4675324675324675
sticky,action_only,identifiable,acc,0.5144508670520231,0.5064935064935064,0.5064935064935064,0.38961038961038963,0.6107142857142854,0.5323886639676114,173,77,0.5324675324675324
sticky,zt+actions,identifiable,acc,0.7630057803468208,0.6233766233766234,0.5064935064935064,0.5194805194805194,0.7402597402597403,0.6727395411605938,173,77,0.5194805194805194
sticky,zt+zt1+actions,identifiable,acc,0.9075144508670521,0.5714285714285714,0.5064935064935064,0.4675324675324675,0.6626623376623374,0.6376518218623481,173,77,0.5584415584415584
sticky,action_only,all_free_or_stuck,acc,0.5144508670520231,0.5064935064935064,0.5064935064935064,0.38961038961038963,0.6107142857142854,0.5323886639676114,173,77,0.5324675324675324
sticky,zt+actions,all_free_or_stuck,acc,0.7630057803468208,0.6233766233766234,0.5064935064935064,0.5194805194805194,0.7402597402597403,0.6727395411605938,173,77,0.5194805194805194
sticky,zt+zt1+actions,all_free_or_stuck,acc,0.9075144508670521,0.5714285714285714,0.5064935064935064,0.4675324675324675,0.6626623376623374,0.6376518218623481,173,77,0.5584415584415584
